Debater,Partner School,Rounds
Cody Mcmanus,Williams,12
Cohen De La Hoz,Lehigh,25
Collin Freet,Lehigh,10
Connor Engstrom,Stanford,6
Constantine Filippatos,Georgetown,26
Cordelia Thompson,William and Mary,20
Cornelia Hsieh,NYU,18
Coston Autry,Dartmouth,32
Craig Diskin,Brandeis,34
Dabin Cho,American,16
Dabin Cho,University of Virginia,2
Dakota Champagne,Georgetown,8
Dakota Champagne,Northeastern,6
Daksha Pillai,Columbia,2
Dana Kim,Stanford,6
Dana Ko,Yale,20
Dane Lester,Princeton,8
Daniel Bocchino,University of Delaware,8
Daniel Di Palma,Washington University in St. Louis,6
Daniel Falkovic,American,4
Daniel Fleury,Johns Hopkins,10
Daniel Handoyo,University of Massachusetts,4
Daniel Jiang,University of Chicago,20
Daniel Ju,Princeton,12
Daniel Jung,Yale,18
Daniel Jung,Johns Hopkins,6
Daniel Kam,Williams,2
Daniel Kang,Columbia,12
Daniel Katari,University of Chicago,233
Daniel Kind,University of Chicago,4
Daniel Page,Williams,22
Daniel Page,University of Chicago,2
Daniel Perez,Harvard,14
Daniel Sheremeta,Harvard,82
Daniel Sheremeta,Tufts,6
Daniel Zhao,Harvard,31
Daniela Cabrera,Maryland,32
Daniela Lacalle,William and Mary,6
Danielle Mitalipov,Stanford,9
Danielle Schmitt,Smith,22
Daphne Wegner,Grinnell,6
Darby Redman,Amherst,10
Daria Haynie,Grinnell,8
Dario Soatto,Stanford,8
Darren Fang,Brown,28
Darren Yang,Northwestern,8
Darshanik Aryal,Harvard,28
David Abrams,Carnegie Mellon,4
David Bloom,Yale,24
David Chen,Columbia,14
David Cui,Brown,16
David Morales,University of Chicago,6
David Ruvaga,University of Virginia,10
David Shepard,University of Pittsburgh,6
David Stolyarov,Yale,10
David Wang,University of Chicago,8
David Wang,Rutgers,6
David Williams,Boston University,24
David Williams,Williams,4
David Williams,Wellesley,2
Davin Wang,Harvard,6
Dawson Lynch,Harvard,10
Dea Karameti,CUNY,12
Dean Deckinger,Columbia,8
Dedra Annakie,NYU,10
Delia Liesenfeld,George Washington,8
Demetri Passalaris,Hamilton,42
Demetri Tymchynyuk,William and Mary,6
Demetrius Daniel,University of Chicago,14
Dennis Su,Johns Hopkins,24
Dennis Su,Northeastern,16
Dennis Su,Brandeis,10
Dennis Su,Brown,10
Dennis Su,Smith,10
Dennis Su,Williams,10
Dennis Su,Tufts,6
Dennis Su,UCLA,3
Deren Eksinar,George Washington,8
Deren Eksinar,Drexel,6
Deren Eksinar,Harvard,6
